index,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
5287,West Footscray,5/14 Busch St,2,h,450000.0,S,hockingstuart,27/11/2016,8.2,3012.0,2.0,1.0,1.0,0.0,90.0,1980.0,Maribyrnong City Council,-37.7956,144.8762,Western Metropolitan,5058.0
244,Ascot Vale,12/9 Milton St,2,u,442000.0,S,Alexkarbon,18/06/2016,5.9,3032.0,2.0,1.0,1.0,0.0,62.0,1975.0,Moonee Valley City Council,-37.7733,144.9219,Western Metropolitan,6567.0
2743,Kew,80 Brougham St,4,h,2850000.0,S,Marshall,25/02/2017,5.6,3101.0,4.0,2.0,4.0,690.0,248.0,1890.0,Boroondara City Council,-37.8037,145.0308,Southern Metropolitan,10331.0
4652,Viewbank,4 The Glade,3,h,960000.0,S,Miles,3/09/2016,13.8,3084.0,4.0,2.0,2.0,656.0,183.0,1990.0,Banyule City Council,-37.7322,145.0995,Eastern Metropolitan,2698.0
3816,Reservoir,1/18 Duffy St,2,u,376000.0,S,Ray,16/04/2016,11.2,3073.0,2.0,1.0,1.0,104.0,77.0,1970.0,Darebin City Council,-37.7104,145.0076,Northern Metropolitan,21650.0
10865,Cairnlea,250 Station Rd,4,h,672000.0,S,HAR,28/10/2017,14.8,3023.0,4.0,2.0,1.0,,145.0,,Brimbank City Council,-37.75009,144.77868999999995,Western Metropolitan,2674.0
13686,South Morang,228 Gordons Rd,5,h,,PI,HAR,24/02/2018,20.5,3752.0,5.0,5.0,2.0,544.0,340.0,2013.0,Whittlesea City Council,-37.63408,145.07783999999995,Northern Metropolitan,7969.0
12828,Wantirna,30 Gresford Rd,4,h,1008000.0,SP,LLC,3/03/2018,14.7,3152.0,4.0,2.0,2.0,625.0,220.0,1980.0,Knox City Council,-37.84972,145.23531,Eastern Metropolitan,5424.0
986,Brunswick,28 Frederick St,3,h,1510000.0,S,Nelson,25/02/2017,5.2,3056.0,3.0,1.0,0.0,325.0,150.0,1920.0,Moreland City Council,-37.7621,144.9595,Northern Metropolitan,11918.0
13244,Greensborough,23 Sunrise Dr,4,h,930000.0,PI,Ray,17/03/2018,16.1,3088.0,4.0,2.0,4.0,920.0,151.0,1995.0,Banyule City Council,-37.68286,145.12333,Northern Metropolitan,8524.0
8021,East Melbourne,29/22 Agnes St,2,u,,SP,Caine,22/07/2017,1.3,3002.0,2.0,1.0,1.0,2319.0,75.0,1970.0,Melbourne City Council,-37.81773,144.98009,Northern Metropolitan,3040.0
11747,Point Cook,19 Maxwell St,4,h,665000.0,S,hockingstuart,25/11/2017,14.7,3030.0,4.0,2.0,2.0,,198.0,2007.0,Wyndham City Council,-37.8809,144.7265,Western Metropolitan,15542.0
12172,Doncaster,4 Cecilie Ct,5,h,,S,Fletchers,9/12/2017,12.4,3108.0,5.0,2.0,2.0,828.0,210.0,1965.0,Manningham City Council,-37.79067,145.10962,Eastern Metropolitan,9028.0
12889,Gladstone Park,37 Samara Gr,3,h,619500.0,SP,Raine,10/03/2018,12.9,3043.0,3.0,2.0,2.0,552.0,114.0,1970.0,Hume City Council,-37.69758,144.88911000000004,Western Metropolitan,3285.0
10716,Sandringham,12A Vincent St,3,h,,S,Buxton,21/10/2017,15.2,3191.0,3.0,2.0,1.0,379.0,148.0,1935.0,Bayside City Council,-37.9495,145.01474,Southern Metropolitan,4497.0
11757,Reservoir,40 McMahon Rd,3,h,650000.0,S,Ray,25/11/2017,12.0,3073.0,3.0,1.0,2.0,,108.0,1950.0,Darebin City Council,-37.7112,145.0211,Northern Metropolitan,21650.0
12126,Burnside,10 Pilbara Av,5,h,,SP,Biggin,9/12/2017,14.8,3023.0,5.0,2.0,4.0,692.0,263.0,2005.0,Melton City Council,-37.749,144.75271,Western Metropolitan,1607.0
10926,Doncaster,6 Benalong Ct,4,h,1500000.0,S,RT,28/10/2017,12.4,3108.0,4.0,2.0,2.0,,200.0,1983.0,Manningham City Council,-37.78375,145.12028,Eastern Metropolitan,9028.0
865,Brighton East,7 Eise Ct,5,h,,SP,Hodges,12/11/2016,10.7,3187.0,5.0,2.0,2.0,653.0,249.0,1980.0,Bayside City Council,-37.9185,145.0151,Southern Metropolitan,6938.0
10406,Mount Waverley,15 Kay St,4,h,1650000.0,PI,@Realty,14/10/2017,14.2,3149.0,4.0,3.0,4.0,878.0,208.0,1980.0,Monash City Council,-37.86003,145.13038,Eastern Metropolitan,13366.0
4549,Thornbury,43 Wilmoth St,5,h,,SP,Nelson,4/03/2017,6.5,3071.0,5.0,2.0,3.0,671.0,289.0,2010.0,Darebin City Council,-37.7629,145.0161,Northern Metropolitan,8870.0
170,Armadale,6A Munro St,3,h,,S,Jellis,12/11/2016,6.3,3143.0,3.0,2.0,1.0,242.0,143.0,1915.0,Stonnington City Council,-37.8534,145.0185,Southern Metropolitan,4836.0
7610,Doncaster East,86 Leeds St,5,h,,SN,Ray,12/08/2017,14.3,3109.0,5.0,2.0,6.0,731.0,256.0,1960.0,Manningham City Council,-37.7956,145.1511,Eastern Metropolitan,10999.0
5012,Fawkner,2/114 Major Rd,2,u,,SN,Barry,14/05/2016,12.4,3060.0,2.0,1.0,1.0,249.0,84.0,1985.0,Hume City Council,-37.7067,144.9639,Northern Metropolitan,5070.0
9992,Thomastown,49/90 Edgars Rd,2,t,406500.0,S,HAR,26/08/2017,15.3,3074.0,2.0,1.0,2.0,,118.0,2009.0,Whittlesea City Council,-37.68585,145.00565,Northern Metropolitan,7955.0
8656,Brunswick West,47 Everett St,4,h,1250000.0,VB,Nelson,9/09/2017,5.2,3055.0,4.0,2.0,2.0,600.0,180.0,2004.0,Moreland City Council,-37.75465,144.94144,Northern Metropolitan,7082.0
8277,Hillside,20 Viridian Dr,4,h,618350.0,S,YPA,29/07/2017,18.0,3037.0,4.0,2.0,2.0,542.0,221.0,2009.0,Brimbank City Council,-37.68104,144.74608,Western Metropolitan,5556.0
5923,Richmond,118 Somerset St,3,h,1214000.0,S,Nelson,6/05/2017,2.6,3121.0,3.0,1.0,0.0,176.0,106.0,1900.0,Yarra City Council,-37.8162,145.006,Northern Metropolitan,14949.0
11085,Nunawading,121 Esdale St,3,h,1491000.0,S,Fletchers,28/10/2017,15.4,3131.0,3.0,2.0,2.0,,197.0,1945.0,Manningham City Council,-37.81401,145.17584,Eastern Metropolitan,4973.0
2250,Glenroy,107 Glenroy Rd,4,h,1000000.0,PI,Barry,27/11/2016,13.0,3046.0,4.0,2.0,8.0,977.0,304.0,1935.0,Moreland City Council,-37.7063,144.9273,Northern Metropolitan,8870.0
9660,St Kilda,4 Frampton St,2,h,1000000.0,VB,Marshall,23/09/2017,5.0,3182.0,2.0,1.0,,106.0,134.0,1900.0,Port Phillip City Council,-37.86191,144.98655,Southern Metropolitan,13240.0
6828,Thornbury,1/24 Dundas St,2,t,756000.0,S,Love,17/06/2017,7.0,3071.0,2.0,1.0,1.0,0.0,103.0,2010.0,Darebin City Council,-37.75267,145.00361999999996,Northern Metropolitan,8870.0
3163,Moorabbin,17 Horsmunden Rd,4,h,1160000.0,S,Gary,28/05/2016,14.6,3189.0,4.0,2.0,2.0,588.0,199.0,2011.0,Kingston City Council,-37.9395,145.0477,Southern Metropolitan,2555.0
2356,Hampton,41 Orlando St,4,h,2160000.0,S,hockingstuart,28/05/2016,13.7,3188.0,4.0,2.0,1.0,577.0,231.0,1940.0,Bayside City Council,-37.9382,144.9997,Southern Metropolitan,5454.0
6305,St Kilda,6/19 Herbert St,2,u,525000.0,S,hockingstuart,1/07/2017,5.0,3182.0,2.0,1.0,1.0,0.0,60.0,1970.0,Port Phillip City Council,-37.87174,144.98286000000004,Southern Metropolitan,13240.0
9862,Keysborough,17 Kotiko Rd,3,h,930000.0,S,Barry,26/08/2017,25.2,3173.0,3.0,2.0,2.0,443.0,201.0,2014.0,Greater Dandenong City Council,-38.00009,145.16959,South-Eastern Metropolitan,8459.0
10689,Pascoe Vale,1 Sefton St,3,h,891000.0,S,Brad,21/10/2017,8.5,3044.0,3.0,1.0,1.0,557.0,113.0,1950.0,Moreland City Council,-37.72332,144.92673,Northern Metropolitan,7485.0
8762,Middle Park,136 Page St,5,h,6400000.0,S,Marshall,9/09/2017,3.0,3206.0,5.0,2.0,1.0,553.0,308.0,1920.0,Port Phillip City Council,-37.84908,144.95753,Southern Metropolitan,2019.0
4090,Seddon,195 Pilgrim St,2,h,,S,Village,27/06/2016,6.6,3011.0,2.0,1.0,0.0,126.0,78.0,1890.0,Maribyrnong City Council,-37.8042,144.8857,Western Metropolitan,2417.0
1904,Fairfield,88 Perry St,4,h,1730000.0,S,Jellis,15/10/2016,5.8,3078.0,4.0,2.0,2.0,490.0,226.0,2007.0,Darebin City Council,-37.7749,145.0242,Northern Metropolitan,2970.0
7545,Wollert,3 Nundroo Cr,3,h,,S,Harcourts,8/07/2017,25.5,3750.0,3.0,2.0,2.0,312.0,141.0,2013.0,Whittlesea City Council,-37.61328,145.03814,Northern Metropolitan,2940.0
7530,Tullamarine,1/119 Melrose Dr,4,h,586000.0,SP,Stockdale,8/07/2017,12.9,3043.0,4.0,1.0,3.0,0.0,158.0,1975.0,Brimbank City Council,-37.70695,144.88513999999995,Western Metropolitan,3296.0
6821,Surrey Hills,4 South Ct,5,h,,S,Marshall,17/06/2017,10.2,3127.0,5.0,3.0,2.0,724.0,291.0,1990.0,Boroondara City Council,-37.83517,145.0963,Southern Metropolitan,5457.0
8050,Hadfield,5 Regent St,3,h,,SN,Barry,22/07/2017,11.2,3046.0,3.0,1.0,3.0,650.0,99.0,1960.0,Moreland City Council,-37.70426,144.9445,Northern Metropolitan,2606.0
781,Brighton,28 Loller St,2,h,1570000.0,S,Buxton,12/11/2016,11.2,3186.0,2.0,1.0,0.0,352.0,111.0,1920.0,Bayside City Council,-37.9154,145.001,Southern Metropolitan,10579.0
12147,Cheltenham,138 Weatherall Rd,4,h,1715000.0,S,hockingstuart,9/12/2017,17.9,3192.0,4.0,2.0,2.0,,167.0,1950.0,Bayside City Council,-37.97191,145.04873,Southern Metropolitan,9758.0
878,Brighton East,7 Tuxen Ct,5,h,2050000.0,PI,RT,15/10/2016,10.7,3187.0,5.0,3.0,3.0,669.0,309.0,1970.0,Bayside City Council,-37.9289,145.0284,Southern Metropolitan,6938.0
4806,Windsor,31 Raleigh St,2,h,1350000.0,S,Jellis,28/08/2016,5.1,3181.0,2.0,1.0,1.0,157.0,101.0,1900.0,Port Phillip City Council,-37.8522,144.986,Southern Metropolitan,4380.0
10928,Doncaster East,271 Blackburn Rd,3,h,1155000.0,S,Barry,28/10/2017,14.3,3109.0,3.0,1.0,1.0,656.0,108.0,1968.0,Manningham City Council,-37.7805,145.16319,Eastern Metropolitan,10999.0
7262,Prahran,20 King St,2,h,780000.0,VB,Biggin,27/05/2017,4.6,3181.0,2.0,1.0,0.0,117.0,48.0,1900.0,Stonnington City Council,-37.84998,144.99499,Southern Metropolitan,7717.0
101,Alphington,1/14 Fulham Rd,2,u,512000.0,S,Love,25/02/2017,6.4,3078.0,2.0,1.0,1.0,0.0,61.0,1965.0,Darebin City Council,-37.7805,145.0262,Northern Metropolitan,2211.0
6778,Oakleigh East,1/17 Claudel St,3,t,820000.0,S,Biggin,17/06/2017,12.3,3166.0,3.0,2.0,1.0,200.0,130.0,2013.0,Monash City Council,-37.91017,145.11488,Southern Metropolitan,2547.0
4206,South Yarra,33 Tyrone St,2,h,1200000.0,S,LITTLE,28/05/2016,3.3,3141.0,2.0,1.0,1.0,163.0,86.0,1900.0,Melbourne City Council,-37.8446,144.9879,Southern Metropolitan,14887.0
8721,Glen Waverley,2/46 Fairhills Pde,4,t,,PN,Harcourts,9/09/2017,16.7,3150.0,4.0,3.0,2.0,734.0,206.0,2005.0,Monash City Council,-37.87742,145.17102,Eastern Metropolitan,15321.0
11828,Balwyn North,11 Highview Rd,4,h,,S,Fletchers,6/01/2018,9.7,3104.0,4.0,3.0,2.0,621.0,181.0,1960.0,Boroondara City Council,-37.78322,145.07958,Southern Metropolitan,7809.0
11069,Murrumbeena,23 Swan Rd,3,h,1720000.0,S,Buxton,28/10/2017,10.1,3163.0,3.0,1.0,2.0,733.0,175.0,1950.0,Glen Eira City Council,-37.90013,145.07054,Southern Metropolitan,4442.0
10810,Bentleigh,33A McKittrick Rd,4,t,1470000.0,S,Jellis,28/10/2017,11.4,3204.0,4.0,3.0,2.0,,260.0,2009.0,Glen Eira City Council,-37.92935,145.04323,Southern Metropolitan,6795.0
7633,Glen Iris,5/31 Yeovil Rd,2,u,851000.0,S,Marshall,12/08/2017,7.3,3146.0,2.0,1.0,1.0,100.0,87.0,1960.0,Boroondara City Council,-37.85258,145.08588999999995,Southern Metropolitan,10412.0
11007,Kew,24 Normanby Rd,5,h,2320000.0,SP,Ray,28/10/2017,5.4,3101.0,5.0,2.0,3.0,,230.0,1960.0,Boroondara City Council,-37.80807,145.054,Southern Metropolitan,10331.0
7531,Vermont South,8 Felgate Pde,5,h,,PI,Barry,8/07/2017,17.2,3133.0,5.0,2.0,2.0,660.0,283.0,1985.0,Whitehorse City Council,-37.84835,145.18511,Eastern Metropolitan,4280.0
859,Brighton East,92 Thomas St,5,h,3207000.0,S,hockingstuart,10/12/2016,10.7,3187.0,5.0,5.0,3.0,1561.0,272.0,1969.0,Bayside City Council,-37.9102,145.0245,Southern Metropolitan,6938.0
8379,Williamstown,2/29 Dover Rd,1,u,385000.0,SP,Williams,29/07/2017,6.8,3016.0,1.0,1.0,1.0,0.0,35.64,1967.0,Hobsons Bay City Council,-37.85588,144.89936,Western Metropolitan,6380.0
8416,Brunswick West,2A Bakers Pde,3,h,,PI,Nelson,3/09/2017,5.2,3055.0,3.0,2.0,2.0,487.0,121.0,1950.0,Moreland City Council,-37.75396,144.94548999999995,Northern Metropolitan,7082.0
3104,Moonee Ponds,3 Pattison St,2,h,849000.0,S,Brad,19/11/2016,6.9,3039.0,2.0,1.0,1.0,345.0,95.0,1930.0,Moonee Valley City Council,-37.773,144.9335,Western Metropolitan,6232.0
6800,Richmond,7 Wiltshire St,3,h,1425000.0,S,Marshall,17/06/2017,2.4,3121.0,3.0,3.0,3.0,81.0,81.0,2000.0,Yarra City Council,-37.82622,144.99879,Northern Metropolitan,14949.0
3735,Preston,194 Miller St,4,h,950000.0,S,Ray,27/11/2016,8.8,3072.0,4.0,2.0,1.0,243.0,140.0,2005.0,Darebin City Council,-37.7506,144.9847,Northern Metropolitan,14577.0
3600,Prahran,907/15 Clifton St,1,u,549800.0,S,hockingstuart,3/12/2016,4.5,3181.0,1.0,1.0,1.0,0.0,51.0,2012.0,Stonnington City Council,-37.8519,144.9948,Southern Metropolitan,7717.0
11860,Cheltenham,2C Gilford Gr,2,t,955000.0,S,Buxton,6/01/2018,17.9,3192.0,2.0,1.0,1.0,,117.0,2002.0,Bayside City Council,-37.96273,145.04935,Southern Metropolitan,9758.0
2801,Maidstone,7 Wallace St,3,h,721000.0,S,Sweeney/Advantage,8/10/2016,9.2,3012.0,2.0,2.0,1.0,239.0,121.0,1955.0,Maribyrnong City Council,-37.7882,144.8784,Western Metropolitan,3873.0
13405,Albion,8B Brisbane St,3,t,600000.0,S,Bells,24/02/2018,10.5,3020.0,3.0,2.0,2.0,187.0,120.0,2010.0,Brimbank City Council,-37.77804,144.81643,Western Metropolitan,2185.0
1347,Caulfield South,28 Almond St,5,h,,SN,Gary,4/03/2017,9.3,3162.0,5.0,3.0,2.0,417.0,109.0,1920.0,Glen Eira City Council,-37.8897,145.0244,Southern Metropolitan,5051.0
9613,Parkdale,2/26 Olive Gr,2,u,520000.0,SP,Sweeney,23/09/2017,21.5,3195.0,2.0,1.0,1.0,,0.0,1970.0,Kingston City Council,-37.98433,145.07963,South-Eastern Metropolitan,5087.0
839,Brighton East,19 Cummins Rd,4,h,,VB,Buxton,4/06/2016,10.7,3187.0,4.0,2.0,2.0,675.0,187.0,1935.0,Bayside City Council,-37.93,145.0258,Southern Metropolitan,6938.0
9472,Chelsea,1/67 Ella Gr,2,u,685000.0,S,hockingstuart/hockingstuart,23/09/2017,27.0,3196.0,2.0,1.0,2.0,,85.0,,Kingston City Council,-38.04205,145.12418,South-Eastern Metropolitan,3906.0
11470,Wantirna South,5 Fewster Dr,5,h,1250000.0,S,OBrien,11/11/2017,14.7,3152.0,5.0,2.0,2.0,704.0,202.0,1980.0,Knox City Council,-37.8833,145.2247,Eastern Metropolitan,7082.0
9630,Reservoir,5/50 Chaleyer St,2,t,492500.0,SP,Raine,23/09/2017,12.0,3073.0,2.0,1.0,1.0,,75.0,2009.0,Darebin City Council,-37.72712,145.02255,Northern Metropolitan,21650.0
5063,Hawthorn East,2/476 Tooronga Rd,3,t,,S,Jellis,12/11/2016,7.5,3123.0,3.0,2.0,2.0,887.0,142.0,1990.0,Boroondara City Council,-37.8341,145.0472,Southern Metropolitan,6482.0
5603,Doncaster,2/25 Clay Dr,2,t,,SP,RW,6/05/2017,13.9,3108.0,2.0,1.0,1.0,85.0,114.0,2009.0,Manningham City Council,-37.7901,145.1275,Eastern Metropolitan,9028.0
563,Bentleigh,13 Wood St,4,h,1910000.0,S,hockingstuart,18/06/2016,13.0,3204.0,4.0,2.0,4.0,736.0,284.0,1950.0,Glen Eira City Council,-37.9224,145.0462,Southern Metropolitan,6795.0
10675,Moorabbin,12 Cooma St,4,h,,PI,Buxton,21/10/2017,14.3,3189.0,4.0,3.0,2.0,,137.0,1950.0,Kingston City Council,-37.93966,145.05248,Southern Metropolitan,2555.0
6066,Yarraville,12/35 Princess St,1,u,331000.0,S,Jas,29/04/2017,7.0,3013.0,1.0,1.0,1.0,0.0,54.0,1970.0,Maribyrnong City Council,-37.8105,144.8952,Western Metropolitan,6543.0
2674,Kensington,1/16 Mawbey St,2,u,395000.0,PI,Nelson,23/04/2016,4.2,3031.0,2.0,1.0,1.0,0.0,80.0,2002.0,Melbourne City Council,-37.7899,144.9231,Northern Metropolitan,5263.0
3447,Pascoe Vale,27 Quick St,4,h,975000.0,S,Brad,3/12/2016,9.9,3044.0,4.0,1.0,1.0,733.0,159.0,1960.0,Moreland City Council,-37.7194,144.9307,Northern Metropolitan,7485.0
6008,Surrey Hills,6A Thistle St,4,h,1600000.0,PI,Marshall,20/05/2017,11.2,3127.0,4.0,1.0,2.0,600.0,186.0,1886.0,Boroondara City Council,-37.8327,145.0976,Southern Metropolitan,5457.0
3515,Port Melbourne,241 The Boulevard,4,h,,S,Greg,3/09/2016,3.8,3207.0,3.0,2.0,1.0,292.0,192.0,2000.0,Melbourne City Council,-37.8391,144.9165,Southern Metropolitan,8648.0
7875,Mickleham,17 Primavera Dr,4,h,610000.0,S,Ray,15/07/2017,20.6,3064.0,4.0,2.0,2.0,490.0,208.0,2015.0,Hume City Council,,,Northern Metropolitan,1158.0
1558,Collingwood,6/78 Oxford St,2,u,910000.0,S,Jellis,4/03/2017,1.6,3066.0,2.0,1.0,1.0,0.0,97.0,1880.0,Yarra City Council,-37.8035,144.985,Northern Metropolitan,4553.0
9194,Bulleen,3 England St,4,h,1240000.0,S,Purplebricks,19/08/2017,10.8,3105.0,4.0,2.0,2.0,602.0,170.0,1970.0,Manningham City Council,-37.76012,145.0854,Eastern Metropolitan,4480.0
7895,Nunawading,1/39 Lemon Gr,3,t,,PN,Noel,15/07/2017,15.4,3131.0,3.0,1.0,1.0,310.0,102.0,1985.0,Manningham City Council,-37.80635,145.1841,Eastern Metropolitan,4973.0
9298,Jacana,29 Hendricks Cr,4,h,650000.0,S,Stockdale,19/08/2017,14.0,3047.0,4.0,3.0,1.0,693.0,120.0,1980.0,Hume City Council,-37.68196,144.90661,Northern Metropolitan,851.0
10537,Box Hill,11 Victoria St,4,h,1782500.0,S,Fletchers,21/10/2017,10.9,3128.0,4.0,2.0,1.0,641.0,625.0,1930.0,Whitehorse City Council,-37.82392,145.1299,Eastern Metropolitan,4605.0
7509,Strathmore,1/351 Napier St,3,u,750000.0,VB,Nelson,8/07/2017,8.2,3041.0,3.0,2.0,2.0,288.0,94.0,1970.0,Moonee Valley City Council,-37.73415,144.91852,Western Metropolitan,3284.0
13006,Hawthorn,57 Haines St,2,h,1600000.0,S,Jellis,17/02/2018,5.3,3122.0,2.0,1.0,1.0,240.0,98.0,1910.0,Boroondara City Council,-37.81774,145.0412,Southern Metropolitan,11308.0
6366,Brunswick,8 Jones St,2,t,765000.0,SP,Jellis,3/06/2017,5.2,3056.0,2.0,2.0,1.0,77.0,88.0,2007.0,Moreland City Council,-37.7617,144.96406000000005,Northern Metropolitan,11918.0
11372,Hawthorn East,76 Lilydale Gr,2,h,1090000.0,S,Jellis,11/11/2017,6.2,3123.0,2.0,1.0,1.0,,114.0,1900.0,Boroondara City Council,-37.8236,145.0509,Southern Metropolitan,6482.0
6425,Epping,6 Letchworth Pl,3,h,620000.0,S,Harcourts,3/06/2017,19.6,3076.0,3.0,1.0,2.0,606.0,120.0,1975.0,Whittlesea City Council,-37.64954,145.03648,Northern Metropolitan,10926.0
4513,Templestowe Lower,65 Fyfe Dr,4,h,1421000.0,S,Barry,10/09/2016,13.8,3107.0,4.0,2.0,2.0,650.0,260.0,1980.0,Manningham City Council,-37.7694,145.1222,Eastern Metropolitan,5420.0
6529,Parkville,401/228 The Avenue,3,u,1770000.0,S,Woodards,3/06/2017,1.8,3052.0,3.0,2.0,1.0,2431.0,70.0,1999.0,Melbourne City Council,-37.78212,144.95755,Northern Metropolitan,2309.0
7506,St Albans,21 Shirley St,3,h,582000.0,S,YPA,8/07/2017,14.0,3021.0,3.0,1.0,0.0,674.0,94.0,1960.0,Brimbank City Council,-37.73704,144.79108,Western Metropolitan,14042.0
8754,Maribyrnong,22A Hillside Cr,4,h,,S,Barry,9/09/2017,4.3,3032.0,4.0,3.0,1.0,,175.0,2017.0,Maribyrnong City Council,-37.77164000000001,144.8935,Western Metropolitan,4918.0
